Joint_L0_deg,Joint_L1_deg,Joint_L2_U_deg,Joint_L3_U_deg,Joint_L2_R_deg,Joint_L2_L_deg,Joint_L3_R_deg,Joint_L3_L_deg,Joint_L4_R_deg,Joint_L4_L_deg,Joint_L5_R_deg,Joint_L5_L_deg,Joint_L6_R_deg,Joint_L6_L_deg,Joint_L7_R_deg,Joint_L7_L_deg,Joint_L8_R_deg,Joint_L8_L_deg
2.9684857508982532e-05,0.0,0.0,0.0,17.04743194580078,-17.048141479492188,63.51310348510742,-63.5127067565918,99.03335571289062,-99.03394317626953,72.90473175048828,-72.90310668945312,112.42464447021484,-112.42488861083984,-20.05463409423828,20.060688018798828,4.595765113830566,4.595448970794678
3.0441677154158242e-05,0.0,0.0,0.0,17.482059478759766,-17.482786178588867,63.0931510925293,-63.09274673461914,99.10706329345703,-99.10767364501953,72.21149444580078,-72.20982360839844,112.99635314941406,-112.9966049194336,-20.565929412841797,20.5721378326416,4.712934970855713,4.712610721588135
3.111774640274234e-05,0.0,0.0,0.0,17.870311737060547,-17.871057510375977,62.7180061340332,-62.71759033203125,99.17290496826172,-99.17353057861328,71.59221649169922,-71.59051513671875,113.50707244873047,-113.50733184814453,-21.022672653198242,21.029016494750977,4.817602634429932,4.817271709442139
3.170684794895351e-05,0.0,0.0,0.0,18.208621978759766,-18.209381103515625,62.39112091064453,-62.39069747924805,99.23027801513672,-99.23091125488281,71.0526123046875,-71.05087280273438,113.95208740234375,-113.95234680175781,-21.4206600189209,21.427125930786133,4.908806800842285,4.908469200134277
3.220276630599983e-05,0.0,0.0,0.0,18.493419647216797,-18.49418830871582,62.11594009399414,-62.115509033203125,99.27857971191406,-99.27922058105469,70.59835815429688,-70.59658813476562,114.32671356201172,-114.32698059082031,-21.755695343017578,21.76226234436035,4.985583782196045,4.985240936279297
3.259929872001521e-05,0.0,0.0,0.0,18.72113800048828,-18.721920013427734,61.895912170410156,-61.895477294921875,99.31719970703125,-99.31784057617188,70.23513793945312,-70.23334503173828,114.62625885009766,-114.62653350830078,-22.02358627319336,22.03023338317871,5.0469746589660645,5.046627521514893
3.289022424723953e-05,0.0,0.0,0.0,18.888212203979492,-18.88899803161621,61.73448181152344,-61.73403549194336,99.34553527832031,-99.34618377685547,69.9686508178711,-69.96685028076172,114.84602355957031,-114.84629821777344,-22.220130920410156,22.226837158203125,5.092014789581299,5.091664791107178
3.3069336495827883e-05,0.0,0.0,0.0,18.991071701049805,-18.99186134338379,61.635093688964844,-61.63465118408203,99.36297607421875,-99.36363220214844,69.8045883178711,-69.80277252197266,114.98133087158203,-114.98160552978516,-22.341135025024414,22.34787940979004,5.119745254516602,5.1193928718566895
3.313041815999895e-05,0.0,0.0,0.0,19.026151657104492,-19.02694320678711,61.6011962890625,-61.60075378417969,99.36892700195312,-99.36958312988281,69.7486343383789,-69.74681854248047,115.02747344970703,-115.02774810791016,-22.382404327392578,22.389158248901367,5.129201889038086,5.128849506378174
3.313041815999895e-05,0.0,0.0,0.0,19.026151657104492,-19.02694320678711,61.6011962890625,-61.60075378417969,99.36892700195312,-99.36958312988281,69.7486343383789,-69.74681854248047,115.02747344970703,-115.02774810791016,-22.382404327392578,22.389158248901367,5.129201889038086,5.128849506378174
4.855170482187532e-05,0.0,0.0,0.0,18.92695426940918,-18.927766799926758,61.805999755859375,-61.8055419921875,99.30181884765625,-99.30247497558594,70.07337188720703,-70.0715560913086,114.93724822998047,-114.93753814697266,-22.13111686706543,22.13787841796875,5.248909950256348,5.248616695404053
4.71109633508604e-05,0.0,0.0,0.0,18.787965774536133,-18.788787841796875,62.055397033691406,-62.054988861083984,99.22530364990234,-99.2259292602539,70.52214050292969,-70.5203628540039,114.84211730957031,-114.84242248535156,-21.819278717041016,21.826047897338867,5.434803485870361,5.434530258178711
5.1059665565844625e-05,0.0,0.0,0.0,18.60392189025879,-18.60477066040039,62.39550018310547,-62.39509201049805,99.11579132080078,-99.1164321899414,71.12443542480469,-71.12265014648438,114.70651245117188,-114.70685577392578,-21.396343231201172,21.403125762939453,5.683614730834961,5.68336820602417
